stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PA763,,PA763-Parada 2 / Teatro Municipal,-33.438819977122,-70.648310405299,
PA91,,PA91-Parada 11 / (M) Santa Lucía,-33.4419586165496,-70.6478824802943,
PA92,,PA92-Parada 1 / Alonso De Ovalle - San Francisco,-33.4452052586943,-70.6471316971788,
PA93,,PA93-Parada 3 / Santa Isabel - San Francisco,-33.450563071534,-70.6469231663798,
PA94,,PA94-Parada 3 / Diez De Julio - San Francisco,-33.4532601647391,-70.646604072105,
PA95,,PA95-Parada 3 / Av. Matta - San Francisco,-33.4576565758806,-70.6456532565605,
PA96,,PA96-Parada 3 / Hospital Sn. Borja Arriarán,-33.4606920315286,-70.6450489215657,
PA97,,PA97-Parada 3 / Victoria - San Francisco,-33.4642081965301,-70.644645152525,
PA98,,PA98-Parada 3 / Ñuble - San Francisco,-33.4690876268512,-70.6440594315521,
PA99,,PA99-Parada 3 / Matadero Franklin,-33.472257163566,-70.6438836374007,
PA819,,PA819-San Francisco / Esq. Placer,-33.4751537895965,-70.6438178251602,
PH138,,PH138-Parada 1 / (M) Bio Bío,-33.4783058460803,-70.6419693473196,
PH139,,PH139-Parada 3 / Paradero 3 Santa Rosa,-33.4806021620725,-70.6418125099409,
PH140,,PH140-Parada 3 / Hospital Trudeau,-33.4838826248622,-70.6414320871993,
PH141,,PH141-Parada 3 / Paradero 6 Santa Rosa,-33.4877404011494,-70.6409043206129,
PH142,,PH142-Parada 3 / Paradero 8 Santa Rosa,-33.4917884822207,-70.6403747222339,
PH143,,PH143-Parada 3 / Paradero 9 Santa Rosa,-33.4949038575142,-70.6399297487108,
PH144,,PH144-Parada 3 / Paradero 9 1/2 Santa Rosa,-33.4974761633417,-70.6396338146169,
PH145,,PH145-Parada 3 / Paradero 11 Santa Rosa,-33.502211696684,-70.6391515244641,
PH146,,PH146-Parada 7 / Departamental - Santa Rosa,-33.5065940758195,-70.6387099015071,
PH147,,PH147-Parada 1 / Paradero 13 Santa Rosa,-33.5107529481887,-70.6378484797434,
PH148,,PH148-Parada 1 / Paradero 14 Santa Rosa,-33.5137477884325,-70.6372428173658,
PH149,,PH149-Parada 1 / Paradero 16 Santa Rosa,-33.5177379646123,-70.6367936760781,
PG90,,PG90-Parada 3 / Paradero 18 Santa Rosa,-33.5223263068621,-70.6363245441786,
PG91,,PG91-Parada 1 / Paradero 19 Santa Rosa,-33.5259751910197,-70.6359055149247,
PG92,,PG92-Parada 1 / Paradero 21 Santa Rosa,-33.5298901467943,-70.6353471772004,
PG93,,PG93-Parada 1 / Paradero 22 Santa Rosa,-33.53367014507,-70.6347647190891,
PG94,,PG94-Parada 1 / Paradero 23 Santa Rosa,-33.5385273627805,-70.634488949139,
PG116,,PG116-Parada 8 / (M) Santa Rosa,-33.5418502030746,-70.6342424288125,
PG254,,PG254-Parada 1 / Paradero 26 Santa Rosa,-33.5459044471975,-70.6336521026066,
PE1294,,PE1294-Parada 3 / Paradero 28 Santa Rosa,-33.550203670086,-70.6328121563458,
PG97,,PG97-Parada 3 / Hospital Padre Hurtado,-33.5534206498298,-70.6321133437436,
PG1611,,PG1611-Parada 5 / Paradero 30 Santa Rosa,-33.5578119659645,-70.6312642244127,
PG1617,,PG1617-Parada 6 / Santo Tomás - Santa Rosa,-33.5603816152559,-70.6307567230039,
PG1464,,PG1464-Violeta Parra / Esq. El Bosque,-33.5610814774909,-70.6342351745901,
PG100,,PG100-Violeta Parra / Esq. P. Aguirre Cerda,-33.5609203354514,-70.6379613334741,
PG101,,PG101-Violeta Parra / Esq. Santa Pilar,-33.5608192974094,-70.6403442963961,
PG102,,PG102-Violeta Parra / Esq. Los Almendros,-33.5605346247652,-70.6441908847028,
PG103,,PG103-Violeta Parra / Esq. A. Latorre,-33.5603958275946,-70.6461497821039,
PG1129,,PG1129-Violeta Parra / Esq. Av. La Bandera,-33.560293335555,-70.6480888960427,
PG1130,,PG1130-Violeta Parra / Esq. Isabel De Hungría,-33.560180398852,-70.6502001527399,
PG1131,,PG1131-Violeta Parra / Esq. San Manuel,-33.5599711496414,-70.6527673632888,
PG1132,,PG1132-Violeta Parra / Esq. Av. San Francisco,-33.5597485410659,-70.6558567281504,
PG301,,PG301-Av. San Francisco / Esq. Los Peucos,-33.5618327762482,-70.6567873472908,
PG1267,,PG1267-Av. Observatorio / Esq. Las Araucarias,-33.5621320928158,-70.6582731232059,
PG1268,,PG1268-Av. Observatorio / Esq. Julio Covarrubias,-33.5615421642378,-70.6619770459088,
PG1269,,PG1269-Av. Observatorio / Esq. Los Avellanos,-33.5611733271771,-70.66425574812,
PG1673,,PG1673-Los Raulíes / Esq. Antonio Varas,-33.5628346675068,-70.6656459692341,
PG572,,PG572-Los Raulíes / Esq. Santa Elena,-33.5654064474452,-70.6662609038726,
PG573,,PG573-Los Raulíes / Esq. El Conquistador,-33.567198505332,-70.6667165398276,
PG574,,PG574-Los Raulíes / Esq. El Libertador,-33.569710729681,-70.6674004209998,
PG575,,PG575-Los Raulíes / Esq. Lo Martínez,-33.572210747613,-70.668052868048,
PG576,,PG576-Parada / Consultorio Laura Vicuña,-33.572574043234,-70.6670601064538,
PG577,,PG577-Lo Martínez / Esq. Los Mimbres,-33.5729687832631,-70.664871034895,
PG578,,PG578-Lo Martínez / Esq. San Francisco,-33.5737513366366,-70.6603957366349,
PG150,,PG150-Av. San Francisco / Esq. General Carvajal,-33.5755713712011,-70.6607171696887,
PG151,,PG151-Av. San Francisco / Esq. San Clemente,-33.5780056554048,-70.6613649843463,
PG152,,PG152-Av. San Francisco / Esq. Sargento Rebolledo,-33.5799472341528,-70.6619021146869,
PG153,,PG153-Av. San Francisco / Esq. Vecinar Sur,-33.5819051099914,-70.662434196372,
PG1761,,PG1761-Av. San Francisco / Esq. Las Parcelas,-33.5834703725498,-70.6628564126322,
PG1757,,PG1757-Avenida Lo Blanco / Esq. V. Pérez Rosales,-33.5852576990598,-70.6626590484793,
PG1756,,PG1756-Avenida Lo Blanco / Esq. Tte. L. Cruz Martínez,-33.5854878633104,-70.6609675116405,
PG1779,,PG1779-Tucapel / Esq. Av. San Francisco,-33.5869918318549,-70.6635327676991,
PG950,,PG950-Av. San Francisco / Esq. Avenida Lo Blanco,-33.5854411803429,-70.663298280958,
PG233,,PG233-Av. San Francisco / Esq. Julio Barrenechea,-33.582636067504,-70.6624643780759,
PG159,,PG159-Av. San Francisco / Esq. Sgto. D. Rebolledo,-33.5803449690473,-70.6618321664135,
PG160,,PG160-Av. San Francisco / Esq. Bernardino Parada,-33.5773555437479,-70.6610228474721,
PG161,,PG161-Av. San Francisco / Esq. Río Loa,-33.575546364704,-70.6605647834823,
PG628,,PG628-Lo Martínez / Esq. Los Andes,-33.573167105461,-70.6630681678738,
PG629,,PG629-Parada / Consultorio Laura Vicuña,-33.5724903996377,-70.6669766222109,
PG630,,PG630-Los Raulíes / Esq. El Libertador,-33.570114168051,-70.6673758599662,
PG631,,PG631-Los Raulíes / Esq. Los Avellanos,-33.5683763102958,-70.6669136934176,
PG632,,PG632-Los Raulíes / Esq. Santa Elena,-33.5654338996731,-70.6661644806762,
PG633,,PG633-Los Raulíes / Esq. Antonio Varas,-33.5632502202484,-70.665659335268,
PG634,,PG634-Los Raulíes / Esq. Av. Observatorio,-33.5613288537985,-70.6652292697284,
PG635,,PG635-Av. Observatorio / Esq. Los Avellanos,-33.5612239319012,-70.6646498886562,
PG636,,PG636-Av. Observatorio / Esq. Los Mimbres,-33.5615789919135,-70.6623903122232,
PG1239,,PG1239-Av. Observatorio / Esq. Los Pinares,-33.5620851694933,-70.6593504923196,
PG1240,,PG1240-Av. Observatorio / Esq. San Francisco,-33.5624469276025,-70.6571222360962,
PG312,,PG312-Av. San Francisco / Esq. Los Gorriones,-33.5620815116979,-70.6566649898902,
PG313,,PG313-Av. San Francisco / Esq. Violeta Parra,-33.5599690089649,-70.6561614650273,
PG1083,,PG1083-Violeta Parra / Esq. Las Bandurrias,-33.5600852258,-70.6525314831772,
PG1084,,PG1084-Violeta Parra / Esq. Fco. De Goya,-33.5602884098442,-70.6500804874104,
PG1085,,PG1085-Violeta Parra / Esq. Av. La Bandera,-33.5603686653959,-70.648458719324,
PG334,,PG334-Violeta Parra / Esq. A. Latorre,-33.5604684994572,-70.6465841841197,
